104 3
13 14 45
33 41 44
41 33 43
47 30 61
14 34 45
35 29 38
30 47 52
35 38 40
26 5 58
36 40 44
28 29 35
33 13 45
41 36 44
5 27 58
48 47 61
40 38 56
12 33 44
11 12 44
49 31 51
42 49 51
46 59 62
42 51 53
43 33 45
46 48 59
37 42 53
45 34 46
2 9 66
46 34 47
44 40 65
34 15 55
46 47 48
47 34 55
14 15 34
21 22 39
52 47 55
12 13 33
39 22 50
23 31 50
22 23 50
23 24 31
59 49 62
31 24 51
42 43 49
24 25 51
51 25 53
9 10 56
27 28 32
17 18 52
42 41 43
18 19 30
11 44 65
37 41 42
25 26 53
32 36 37
32 28 35
53 26 58
32 35 36
37 36 41
36 35 40
9 56 67
18 30 52
38 29 60
19 20 54
30 19 54
29 1 60
15 16 55
32 37 58
16 3 64
4 21 63
7 8 57
37 53 58
20 4 63
3 17 64
1 7 60
27 32 58
31 49 59
50 31 59
59 48 68
54 39 61
43 45 62
45 46 62
50 59 68
21 39 63
56 38 67
10 11 65
49 43 62
38 57 67
39 50 68
57 8 66
61 39 68
30 54 61
17 52 64
40 56 65
7 57 60
39 54 63
8 2 66
52 55 64
56 10 65
54 20 63
55 16 64
57 38 60
57 66 67
48 61 68
66 9 67
